,股票代码,股票名称,每股收益(元),营业收入(元),营业收入同比增长(%),营业收入季度环比增长(%),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%),每股经营现金流量(元),销售毛利率(%),所属行业,最新公告日期
2803,sz.000659,珠海中富,-0.0073,308109550.81,23.287791995,47.9348,-9434065.17,74.94,94.2005,0.429084575062,-1.69,0.027206751489,21.4988026193,包装材料,2021-04-28
2804,sz.000652,泰达股份,0.0025,1402425201.68,-48.9660801809,-84.3265,3645757.8,10.56,-95.9731,3.369459757457,0.07,0.291518808487,13.1131549633,综合行业,2021-04-28
2805,sz.000650,仁和药业,0.1072,1182488435.13,34.0830003715,2.9917,150038498.65,45.38,-24.4167,3.730832165021,2.91,-0.00197228995,39.8394168919,医药制造,2021-04-28
2806,sz.000636,风华高科,0.21,1173943831.21,68.077689132,-16.8838,186176579.61,49.38,1434.9092,6.86893677381,3.07,0.176799988165,30.3677814059,电子元件,2021-04-28
2807,sz.000633,合金投资,0.0036,32346046.72,19.218770909,-5.7175,1376700.62,151.92,321.5807,0.431904048989,0.83,-0.011056838132,11.5563848725,有色金属,2021-04-28
2808,sz.000612,焦作万方,0.174,1569696516.46,56.9356451434,28.1068,207960891.8,147.45,4.4665,4.2263414881,4.22,0.495605177258,18.6503122279,有色金属,2021-04-28
2809,sz.000600,建投能源,0.167,4536158429.66,6.144824706,4.9667,299567487.69,-27.81,200.2958,6.928122846574,2.4,0.298378186256,15.6722342798,电力行业,2021-04-28
2810,sz.000598,兴蓉环境,0.1,1187876565.66,20.7536252724,-26.66,297246921.24,13.77,16.9365,4.209800807771,2.39,0.011201707051,42.4552598257,公用事业,2021-04-28
2811,sz.000597,东北制药,0.029,2020281646.06,4.1673785281,6.4666,38682048.63,297.26,237.9843,3.05744156822,0.97,-0.014170838508,40.8170201327,医药制造,2021-04-28
2812,sz.000591,太阳能,0.0926,1571707664.04,54.9695012143,2.3344,278549613.69,80.11,469.6161,4.760931031214,1.96,0.051474194809,38.2970666474,电力行业,2021-04-28
